government,department,programme,subprogramme,financial_year,budget_phase,value
North West,Social Development,Children and Families,Care and Services to Families,2019,Medium Term Estimates,55136000.0
North West,Social Development,Children and Families,Care and Services to Families,2020,Medium Term Estimates,58169000.0
North West,Social Development,Children and Families,Child and Youth Care Centres,2018,Main appropriation,69833000.0
North West,Social Development,Children and Families,Child and Youth Care Centres,2019,Medium Term Estimates,77400000.0
North West,Social Development,Children and Families,Child and Youth Care Centres,2020,Medium Term Estimates,81662000.0
North West,Social Development,Children and Families,Child Care and Protection,2018,Main appropriation,89368000.0
North West,Social Development,Children and Families,Child Care and Protection,2019,Medium Term Estimates,97393000.0
North West,Social Development,Children and Families,Child Care and Protection,2020,Medium Term Estimates,103518000.0
North West,Social Development,Children and Families,Community-Based Care Services for Children,2018,Main appropriation,1574000.0
North West,Social Development,Children and Families,Community-Based Care Services for Children,2019,Medium Term Estimates,1662000.0
North West,Social Development,Children and Families,Community-Based Care Services for Children,2020,Medium Term Estimates,1754000.0
North West,Social Development,Children and Families,ECD and Partial Care,2018,Main appropriation,222903000.0
North West,Social Development,Children and Families,ECD and Partial Care,2019,Medium Term Estimates,234907000.0
North West,Social Development,Children and Families,ECD and Partial Care,2020,Medium Term Estimates,248585000.0
North West,Social Development,Children and Families,Management and Support,2018,Main appropriation,7782000.0
North West,Social Development,Children and Families,Management and Support,2019,Medium Term Estimates,12609000.0
North West,Social Development,Children and Families,Management and Support,2020,Medium Term Estimates,20348000.0
North West,Social Development,Development and Research,Community Based Research and Planning,2018,Main appropriation,3833000.0
North West,Social Development,Development and Research,Community Based Research and Planning,2019,Medium Term Estimates,4325000.0
North West,Social Development,Development and Research,Community Based Research and Planning,2020,Medium Term Estimates,4563000.0
North West,Social Development,Development and Research,Community Mobilisation,2018,Main appropriation,3807000.0
North West,Social Development,Development and Research,Community Mobilisation,2019,Medium Term Estimates,4182000.0
North West,Social Development,Development and Research,Community Mobilisation,2020,Medium Term Estimates,4413000.0
North West,Social Development,Development and Research,Institutional capacity building and support for NPO's,2018,Main appropriation,22073000.0
North West,Social Development,Development and Research,Institutional capacity building and support for NPO's,2019,Medium Term Estimates,9371000.0
North West,Social Development,Development and Research,Institutional capacity building and support for NPO's,2020,Medium Term Estimates,9885000.0
North West,Social Development,Development and Research,Management and Support,2018,Main appropriation,82251000.0
North West,Social Development,Development and Research,Management and Support,2019,Medium Term Estimates,86153000.0
North West,Social Development,Development and Research,Management and Support,2020,Medium Term Estimates,94928000.0
North West,Social Development,Development and Research,Population Policy Promotion,2018,Main appropriation,3711000.0
North West,Social Development,Development and Research,Population Policy Promotion,2019,Medium Term Estimates,3920000.0
North West,Social Development,Development and Research,Population Policy Promotion,2020,Medium Term Estimates,4136000.0
North West,Social Development,Development and Research,Poverty Alleviation and Sustainable Livelihoods,2018,Main appropriation,25388000.0
North West,Social Development,Development and Research,Poverty Alleviation and Sustainable Livelihoods,2019,Medium Term Estimates,26781000.0
North West,Social Development,Development and Research,Poverty Alleviation and Sustainable Livelihoods,2020,Medium Term Estimates,28255000.0
North West,Social Development,Development and Research,Women Development,2018,Main appropriation,9319000.0
North West,Social Development,Development and Research,Women Development,2019,Medium Term Estimates,9841000.0
North West,Social Development,Development and Research,Women Development,2020,Medium Term Estimates,10382000.0
North West,Social Development,Development and Research,Youth Development,2018,Main appropriation,24023000.0
North West,Social Development,Development and Research,Youth Development,2019,Medium Term Estimates,26050000.0
North West,Social Development,Development and Research,Youth Development,2020,Medium Term Estimates,27483000.0
North West,Social Development,Restorative Services,Crime Prevention,2018,Main appropriation,107660000.0
North West,Social Development,Restorative Services,Crime Prevention,2019,Medium Term Estimates,111974000.0
North West,Social Development,Restorative Services,Crime Prevention,2020,Medium Term Estimates,122787000.0
North West,Social Development,Restorative Services,Management and Support,2018,Main appropriation,7741000.0
North West,Social Development,Restorative Services,Management and Support,2019,Medium Term Estimates,10667000.0
North West,Social Development,Restorative Services,Management and Support,2020,Medium Term Estimates,11255000.0
North West,Social Development,Restorative Services,"Substance Abuse, Prevention and Rehabilitation",2018,Main appropriation,73370000.0
North West,Social Development,Restorative Services,"Substance Abuse, Prevention and Rehabilitation",2019,Medium Term Estimates,104871000.0
North West,Social Development,Restorative Services,"Substance Abuse, Prevention and Rehabilitation",2020,Medium Term Estimates,110639000.0
North West,Social Development,Restorative Services,Victim Empowerment,2018,Main appropriation,50886000.0
North West,Social Development,Restorative Services,Victim Empowerment,2019,Medium Term Estimates,54852000.0
North West,Social Development,Restorative Services,Victim Empowerment,2020,Medium Term Estimates,57869000.0
North West,Social Development,Social Welfare Services,HIV and AIDS,2018,Main appropriation,76380000.0
North West,Social Development,Social Welfare Services,HIV and AIDS,2019,Medium Term Estimates,81806000.0
North West,Social Development,Social Welfare Services,HIV and AIDS,2020,Medium Term Estimates,86302000.0
North West,Social Development,Social Welfare Services,Management and Support,2018,Main appropriation,190196000.0
North West,Social Development,Social Welfare Services,Management and Support,2019,Medium Term Estimates,203344000.0
North West,Social Development,Social Welfare Services,Management and Support,2020,Medium Term Estimates,224799000.0
North West,Social Development,Social Welfare Services,Services to Older Persons,2018,Main appropriation,167218000.0
North West,Social Development,Social Welfare Services,Services to Older Persons,2019,Medium Term Estimates,177721000.0
North West,Social Development,Social Welfare Services,Services to Older Persons,2020,Medium Term Estimates,187495000.0
North West,Social Development,Social Welfare Services,Services to Persons with Disabilities,2018,Main appropriation,79769000.0
North West,Social Development,Social Welfare Services,Services to Persons with Disabilities,2019,Medium Term Estimates,75937000.0
North West,Social Development,Social Welfare Services,Services to Persons with Disabilities,2020,Medium Term Estimates,80114000.0
North West,Social Development,Social Welfare Services,Social Relief,2018,Main appropriation,15171000.0
North West,Social Development,Social Welfare Services,Social Relief,2019,Medium Term Estimates,16020000.0
North West,Social Development,Social Welfare Services,Social Relief,2020,Medium Term Estimates,16900000.0
North West,Social Development,Special Programs,Special Programmes,2018,Main appropriation,20565000.0
North West,Social Development,Special Programs,Special Programmes,2019,Medium Term Estimates,21447000.0
North West,Social Development,Special Programs,Special Programmes,2020,Medium Term Estimates,23132000.0
North West,Tourism,Administration,Corporate Services,2018,Main appropriation,39469000.0
North West,Tourism,Administration,Corporate Services,2019,Medium Term Estimates,42152000.0
North West,Tourism,Administration,Corporate Services,2020,Medium Term Estimates,45621000.0
North West,Tourism,Administration,Financial Management,2018,Main appropriation,20082000.0
North West,Tourism,Administration,Financial Management,2019,Medium Term Estimates,21701000.0
North West,Tourism,Administration,Financial Management,2020,Medium Term Estimates,34081000.0
North West,Tourism,Administration,Office of the HOD,2018,Main appropriation,8478000.0
North West,Tourism,Administration,Office of the HOD,2019,Medium Term Estimates,8997000.0
North West,Tourism,Administration,Office of the HOD,2020,Medium Term Estimates,9547000.0
North West,Tourism,Administration,Office of the MEC,2018,Main appropriation,9546000.0
North West,Tourism,Administration,Office of the MEC,2019,Medium Term Estimates,10134000.0
North West,Tourism,Administration,Office of the MEC,2020,Medium Term Estimates,10691000.0
North West,Tourism,"Tourism Growth, Development and Transformation",Tourism Sector and Transformation,2018,Main appropriation,5942000.0
North West,Tourism,"Tourism Growth, Development and Transformation",Tourism Sector and Transformation,2019,Medium Term Estimates,6289000.0
North West,Tourism,"Tourism Growth, Development and Transformation",Tourism Sector and Transformation,2020,Medium Term Estimates,6679000.0
North West,Tourism,"Tourism Growth, Development and Transformation",Tourist Guiding and Regulatory Services,2018,Main appropriation,3720000.0
North West,Tourism,"Tourism Growth, Development and Transformation",Tourist Guiding and Regulatory Services,2019,Medium Term Estimates,3944000.0
North West,Tourism,"Tourism Growth, Development and Transformation",Tourist Guiding and Regulatory Services,2020,Medium Term Estimates,4182000.0
